Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:30:07 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6
character 632	0:0.08537079; 1:0.91462921
character 634	0:0.87801112; 1:0.12198888
character 636	0:0.99840479; 1:0.00159521
character 637	0:0.5; 1:0.5
character 638	0:0.04055226; 1:0.95944774
character 639	0:0.99849706; 1:0.00150294
character 640	0:0.99796466; 1:0.00203534
character 642	0:0.5; 1:0.5
character 643	0:0.99843138; 1:0.00156862
character 644	0:0.5; 1:0.5
character 645	0:0.5; 1:0.5
character 646	0:0.00159521; 1:0.99840479
character 647	0:0.00159521; 1:0.99840479
character 648	0:0.1583949; 1:0.8416051
character 649	0:0.08537079; 1:0.91462921
character 650	0:0.84952492; 1:0.15047508
character 651	0:0.5; 1:0.5
character 652	0:0.99859055; 1:0.00140945
character 653	0:0.9036519; 1:0.0963481
character 654	0:0.5; 1:0.5
character 655	0:0.14758506; 1:0.85241494
character 656	0:0.99796466; 1:0.00203534
character 657	0:0.5; 1:0.5
character 658	0:0.90591531; 1:0.09408469
character 661	0:0.04200474; 1:0.95799526
character 662	0:0.99849706; 1:0.00150294
character 663	0:0.1245572; 1:0.8754428
character 664	0:0.04200474; 1:0.95799526
character 665	0:0.99859055; 1:0.00140945
character 667	0:0.12198888; 1:0.87801112
character 668	0:0.5; 1:0.5
character 669	0:0.28879777; 1:0.71120223
character 670	0:0.00203534; 1:0.99796466
character 671	0:0.5; 1:0.5
character 672	0:0.1408749; 1:0.8591251
character 674	0:0.06990095; 1:0.93009905
character 675	0:0.00159521; 1:0.99840479
character 676	0:0.90591531; 1:0.09408469
character 678	0:0.00203534; 1:0.99796466
character 679	0:0.99859055; 1:0.00140945
character 680	0:0.19528937; 1:0.80471063
character 681	0:0.5; 1:0.5
character 682	0:0.04055226; 1:0.95944774
character 683	0:0.5; 1:0.5
